Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
...Under 5 years,"154,168","154,169","153,729","151,445","150,408","148,944","149,530","150,552","153,478","153,202","153,325","152,332"
...5 to 13 years,"253,400","253,401","254,599","259,061","264,305","268,702","270,916","273,649","274,546","276,883","277,674","277,964"
...14 to 17 years,"108,954","108,959","108,900","108,352","108,413","108,792","110,795","112,372","113,919","116,033","117,328","120,014"
..18 to 64 years,"908,700","908,709","914,321","937,339","958,610","979,443","999,730","1,021,093","1,042,176","1,062,200","1,082,317","1,100,617"
...18 to 24 years,"194,513","194,516","194,765","195,987","197,412","197,950","198,327","198,272","198,009","197,524","198,699","199,960"
...25 to 44 years,"478,932","478,937","481,095","490,125","498,232","506,125","513,399","520,922","528,923","536,496","543,093","548,294"
...45 to 64 years,"235,255","235,256","238,461","251,227","262,966","275,368","288,004","301,899","315,244","328,180","340,525","352,363"
..65 years and over,"51,026","51,027","51,950","55,718","60,273","64,995","70,212","75,821","81,922","88,118","94,926","102,257"
..85 years and over,"4,179","4,180","4,287","4,647","4,990","5,424","5,851","6,398","6,936","7,461","7,927","8,465"
,,,,,,,,,,,,
..16 years and over,"1,014,924","1,014,939","1,021,409","1,047,658","1,073,062","1,098,576","1,124,689","1,152,254","1,180,874","1,208,058","1,235,028","1,261,718"
..18 years and over,"959,726","959,736","966,271","993,057","1,018,883","1,044,438","1,069,942","1,096,914","1,124,098","1,150,318","1,177,243","1,202,874"
..15 to 44 years,"755,794","755,807","758,060","767,485","776,840","785,475","793,962","803,232","812,195","820,553","829,196","837,124"
,,,,,,,,,,,,
..Median age (years),26.0,26.0,26.1,26.5,26.8,27.2,27.6,27.9,28.2,28.6,28.9,29.3
..MALE,"773,939","773,950","777,576","791,366","806,366","820,630","835,528","851,610","867,717","882,639","896,854","910,435"
...Under 5 years,"79,019","79,019","78,838","77,436","76,671","75,834","76,095","76,434","77,988","77,735","77,767","77,315"
...5 to 9 years,"73,014","73,015","73,408","75,164","77,384","78,788","79,531","79,658","78,339","77,675","76,848","77,079"
...10 to 14 years,"69,100","69,100","69,396","69,984","70,753","71,789","72,937","74,248","76,200","78,567","80,040","80,751"
...15 to 19 years,"73,035","73,039","72,571","71,329","70,165","69,699","69,906","70,956","71,787","72,656","73,767","74,885"
...20 to 24 years,"75,800","75,802","75,976","76,214","76,967","76,660","75,791","74,677","73,594","72,747","72,504","72,713"
...25 to 29 years,"74,967","74,969","75,158","75,921","75,857","75,881","76,295","77,101","77,651","78,343","78,004","77,047"
...30 to 34 years,"68,599","68,601","69,094","70,795","72,452","74,261","75,436","75,513","76,366","76,376","76,504","76,971"
...35 to 39 years,"61,779","61,779","61,987","63,136","64,336","65,638","66,673","68,930","70,657","72,292","74,031","75,138"
...40 to 44 years,"54,094","54,094","54,422","55,994","57,913","59,133","60,610","61,496","62,647","63,765","65,024","66,033"
...45 to 49 years,"45,796","45,796","46,155","47,783","49,002","50,509","51,788","53,687","55,271","57,135","58,301","59,750"
...50 to 54 years,"35,774","35,774","36,337","37,949","39,503","41,551","43,526","45,086","46,711","47,932","49,440","50,663"
...55 to 59 years,"24,090","24,090","24,589","26,868","29,277","31,067","33,048","35,274","36,896","38,473","40,512","42,424"
...60 to 64 years,"15,985","15,985","16,315","17,664","18,672","20,119","21,615","23,534","25,730","28,082","29,844","31,773"
...65 to 69 years,"9,381","9,381","9,554","10,440","11,733","12,913","14,137","15,393","16,650","17,597","18,974","20,365"
...70 to 74 years,"5,913","5,913","6,056","6,478","6,907","7,440","8,098","8,784","9,640","10,873","11,997","13,139"
...75 to 79 years,"3,700","3,700","3,745","3,968","4,248","4,558","4,918","5,362","5,735","6,118","6,596","7,175"
...80 to 84 years,"2,301","2,301","2,334","2,478","2,677","2,778","2,937","3,066","3,256","3,482","3,737","4,035"
...85 years and over,"1,592","1,592","1,641","1,765","1,849","2,012","2,187","2,411","2,599","2,791","2,964","3,179"
,,,,,,,,,,,,
...Under 18 years,"263,360","263,365","263,727","264,088","266,321","268,025","270,392","273,004","275,701","277,965","279,111","280,270"
....Under 5 years,"79,019","79,019","78,838","77,436","76,671","75,834","76,095","76,434","77,988","77,735","77,767","77,315"
....5 to 13 years,"128,494","128,495","129,129","131,368","134,298","136,751","137,975","139,599","139,913","141,226","141,834","142,017"
....14 to 17 years,"55,847","55,851","55,760","55,284","55,352","55,440","56,322","56,971","57,800","59,004","59,510","60,938"
...18 to 64 years,"487,692","487,698","490,519","502,149","512,631","522,904","532,859","543,590","554,136","563,813","573,475","582,272"
....18 to 24 years,"106,608","106,610","106,462","106,039","105,619","104,745","103,868","102,969","102,207","101,415","101,815","102,473"
....25 to 44 years,"259,439","259,443","260,661","265,846","270,558","274,913","279,014","283,040","287,321","290,776","293,563","295,189"
....45 to 64 years,"121,645","121,645","123,396","130,264","136,454","143,246","149,977","157,581","164,608","171,622","178,097","184,610"
...65 years and over,"22,887","22,887","23,330","25,129","27,414","29,701","32,277","35,016","37,880","40,861","44,268","47,893"
...85 years and over,"1,592","1,592","1,641","1,765","1,849","2,012","2,187","2,411","2,599","2,791","2,964","3,179"
,,,,,,,,,,,,
...16 years and over,"538,993","539,003","542,136","555,070","567,765","580,354","593,092","606,701","620,797","633,954","647,124","660,181"
...18 years and over,"510,579","510,585","513,849","527,278","540,045","552,605","565,136","578,606","592,016","604,674","617,743","630,165"
...15 to 44 years,"408,274","408,284","409,208","413,389","417,690","421,272","424,711","428,673","432,702","436,179","439,834","442,787"
,,,,,,,,,,,,
...Median age (years),26.1,26.1,26.2,26.7,27.1,27.5,27.9,28.2,28.6,28.9,29.3,29.7
..FEMALE,"702,309","702,315","705,923","720,549","735,643","750,246","765,655","781,877","798,324","813,797","828,716","842,749"
...Under 5 years,"75,149","75,150","74,891","74,009","73,737","73,110","73,435","74,118","75,490","75,467","75,558","75,017"
...5 to 9 years,"71,310","71,310","71,650","73,012","74,626","75,662","75,862","75,621","74,892","74,784","74,261","74,603"
...10 to 14 years,"66,581","66,581","66,845","67,880","68,759","69,855","71,145","72,456","73,771","75,357","76,449","76,675"
...15 to 19 years,"66,905","66,906","67,041","67,000","66,757","66,787","67,115","68,099","69,216","70,122","71,225","72,441"
...20 to 24 years,"61,122","61,123","61,377","62,817","64,719","66,204","67,751","68,578","68,675","68,532","68,607","68,791"
...25 to 29 years,"61,427","61,427","61,387","61,620","61,298","61,361","61,738","62,730","64,274","66,308","67,845","69,337"
...30 to 34 years,"57,924","57,925","58,327","59,569","60,904","61,760","62,330","62,387","62,682","62,475","62,633","63,003"
...35 to 39 years,"53,611","53,611","53,762","54,302","55,174","56,300","57,481","58,895","60,196","61,586","62,588","63,196"
...40 to 44 years,"46,531","46,531","46,958","48,788","50,298","51,791","52,836","53,870","54,450","55,351","56,464","57,569"
...45 to 49 years,"41,373","41,374","41,664","42,781","43,489","44,283","45,195","46,708","48,669","50,259","51,822","52,806"
...50 to 54 years,"33,276","33,276","33,601","35,224","36,888","38,600","40,222","41,369","42,527","43,221","43,973","44,864"
...55 to 59 years,"23,170","23,170","23,676","25,330","27,353","29,215","31,149","33,090","34,675","36,331","38,047","39,627"
...60 to 64 years,"15,791","15,791","16,124","17,628","18,782","20,024","21,461","23,151","24,765","26,747","28,586","30,456"
...65 to 69 years,"10,191","10,191","10,415","11,315","12,330","13,330","14,451","15,726","17,207","18,349","19,535","20,907"
...70 to 74 years,"7,021","7,021","7,087","7,417","7,934","8,568","9,330","10,028","10,889","11,882","12,851","13,943"
...75 to 79 years,"5,049","5,049","5,110","5,356","5,639","6,022","6,304","6,611","6,938","7,428","8,036","8,708"
...80 to 84 years,"3,291","3,291","3,362","3,619","3,815","3,962","4,186","4,453","4,671","4,928","5,273","5,520"
...85 years and over,"2,587","2,588","2,646","2,882","3,141","3,412","3,664","3,987","4,337","4,670","4,963","5,286"
,,,,,,,,,,,,
...Under 18 years,"253,162","253,164","253,501","254,770","256,805","258,413","260,849","263,569","266,242","268,153","269,216","270,040"
....Under 5 years,"75,149","75,150","74,891","74,009","73,737","73,110","73,435","74,118","75,490","75,467","75,558","75,017"
....5 to 13 years,"124,906","124,906","125,470","127,693","130,007","131,951","132,941","134,050","134,633","135,657","135,840","135,947"
....14 to 17 years,"53,107","53,108","53,140","53,068","53,061","53,352","54,473","55,401","56,119","57,029","57,818","59,076"
...18 to 64 years,"421,008","421,011","423,802","435,190","445,979","456,539","466,871","477,503","488,040","498,387","508,842","518,345"
....18 to 24 years,"87,905","87,906","88,303","89,948","91,793","93,205","94,459","95,303","95,802","96,109","96,884","97,487"
....25 to 44 years,"219,493","219,494","220,434","224,279","227,674","231,212","234,385","237,882","241,602","245,720","249,530","253,105"
....45 to 64 years,"113,610","113,611","115,065","120,963","126,512","132,122","138,027","144,318","150,636","156,558","162,428","167,753"
...65 years and over,"28,139","28,140","28,620","30,589","32,859","35,294","37,935","40,805","44,042","47,257","50,658","54,364"
...85 years and over,"2,587","2,588","2,646","2,882","3,141","3,412","3,664","3,987","4,337","4,670","4,963","5,286"
,,,,,,,,,,,,
...16 years and over,"475,931","475,936","479,273","492,588","505,297","518,222","531,597","545,553","560,077","574,104","587,904","601,537"
...18 years and over,"449,147","449,151","452,422","465,779","478,838","491,833","504,806","518,308","532,082","545,644","559,500","572,709"
...15 to 44 years,"347,520","347,523","348,852","354,096","359,150","364,203","369,251","374,559","379,493","384,374","389,362","394,337"
,,,,,,,,,,,,
...Median age (years),25.8,25.8,25.9,26.3,26.6,26.9,27.2,27.5,27.8,28.1,28.5,28.8
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. Median age is calculated based on single year of age. Hispanic origin is considered an ethnicity, not a race. Hispanics may be of any race. Responses of ""Some Other Race"" from the 2010 Census are modified. This results in differences between the population for specific race categories shown for the 2010 Census population in this table versus those in the original 2010 Census data. For more information, see https://www2.census.gov/programs-surveys/popest/technical-documentation/methodology/modified-race-summary-file-method/mrsf2010.pdf. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. ",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Annual Estimates of the Resident Population by Sex, Age, Race, and Hispanic Origin for the United States: April 1, 2010 to July 1, 2019 (NC-EST2019-ASR6H)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2020,,,,,,,,,,,,
