"TOTAL
.MALE,"151,781,326","151,788,777","152,074,758","153,200,058","154,374,397","155,481,926","156,654,424","157,856,394","159,021,785","160,045,920","160,885,734","161,657,324"
..Under 5 years,"10,319,427","10,319,452","10,312,617","10,279,719","10,204,340","10,141,578","10,159,548","10,186,762","10,186,227","10,170,930","10,106,254","10,009,207"
..5 to 9 years,"10,389,638","10,389,675","10,380,298","10,381,356","10,451,708","10,502,378","10,474,281","10,453,530","10,434,079","10,371,605","10,312,624","10,322,762"
..10 to 14 years,"10,579,862","10,579,975","10,578,206","10,586,779","10,560,199","10,544,176","10,546,941","10,512,014","10,522,729","10,601,061","10,654,164","10,618,261"
..15 to 19 years,"11,303,666","11,304,511","11,277,894","11,119,469","10,960,709","10,847,996","10,774,552","10,782,533","10,799,470","10,777,647","10,755,963","10,745,607"
..20 to 24 years,"11,014,176","11,015,251","11,072,082","11,303,591","11,542,727","11,680,740","11,726,278","11,636,577","11,475,837","11,305,787","11,166,165","11,064,752"
..25 to 29 years,"10,635,591","10,636,515","10,660,751","10,744,612","10,821,489","10,933,926","11,145,370","11,391,309","11,655,559","11,881,203","11,992,508","12,004,570"
..30 to 34 years,"9,996,500","9,997,129","10,051,162","10,272,959","10,478,593","10,665,565","10,791,682","10,869,592","10,989,782","11,070,233","11,170,334","11,354,610"
..35 to 39 years,"10,042,022","10,042,579","9,991,819","9,755,000","9,704,403","9,771,719","9,912,803","10,140,455","10,382,866","10,591,534","10,773,276","10,884,941"
..40 to 44 years,"10,393,977","10,394,559","10,399,313","10,457,688","10,448,583","10,348,022","10,187,679","9,990,175","9,769,161","9,718,958","9,781,167","9,907,139"
..45 to 49 years,"11,209,085","11,209,686","11,175,035","10,950,368","10,719,863","10,491,657","10,311,444","10,289,214","10,357,232","10,350,967","10,250,054","10,085,355"
..50 to 54 years,"10,933,274","10,933,752","10,959,294","11,065,640","11,072,951","11,061,026","11,045,266","10,922,374","10,709,628","10,486,678","10,264,519","10,086,611"
..55 to 59 years,"9,523,648","9,523,938","9,587,000","9,813,694","10,063,236","10,268,346","10,415,897","10,559,690","10,664,092","10,670,901","10,658,799","10,642,489"
..60 to 64 years,"8,077,500","8,077,705","8,157,926","8,542,640","8,530,632","8,661,991","8,854,609","9,085,342","9,297,137","9,529,176","9,718,812","9,856,730"
..65 to 69 years,"5,852,547","5,852,722","5,894,811","6,073,045","6,606,866","6,901,259","7,233,909","7,575,892","7,926,529","7,909,083","8,025,207","8,199,773"
..70 to 74 years,"4,243,972","4,244,142","4,273,114","4,403,345","4,598,017","4,878,391","5,090,939","5,281,063","5,443,305","5,930,226","6,200,155","6,499,806"
..75 to 79 years,"3,182,388","3,182,576","3,186,724","3,232,745","3,293,562","3,389,947","3,507,289","3,603,220","3,721,093","3,889,203","4,135,618","4,318,499"
..80 to 84 years,"2,294,374","2,294,580","2,306,346","2,334,442","2,353,957","2,364,381","2,376,793","2,407,293","2,452,915","2,504,028","2,585,562","2,679,724"
..85 years and over,"1,789,679","1,790,030","1,810,366","1,882,966","1,962,562","2,028,828","2,099,144","2,169,359","2,234,144","2,286,700","2,334,553","2,376,488"
,,,,,,,,,,,,
..Under 18 years,"37,945,136","37,945,653","37,909,054","37,781,480","37,658,779","37,581,308","37,575,375","37,604,082","37,618,371","37,585,705","37,448,504","37,308,668"
...Under 5 years,"10,319,427","10,319,452","10,312,617","10,279,719","10,204,340","10,141,578","10,159,548","10,186,762","10,186,227","10,170,930","10,106,254","10,009,207"
...5 to 13 years,"18,833,957","18,834,054","18,835,659","18,857,785","18,897,890","18,926,421","18,857,741","18,831,056","18,868,614","18,869,751","18,842,511","18,815,383"
...14 to 17 years,"8,791,752","8,792,147","8,760,778","8,643,976","8,556,549","8,513,309","8,558,086","8,586,264","8,563,530","8,545,024","8,499,739","8,484,078"
..18 to 64 years,"96,473,230","96,479,074","96,694,343","97,492,035","97,900,654","98,337,812","98,770,975","99,215,485","99,625,428","99,940,975","100,156,135","100,274,366"
...18 to 24 years,"15,661,633","15,663,211","15,712,043","15,889,434","16,060,904","16,135,560","16,106,225","15,967,334","15,799,971","15,641,325","15,546,666","15,451,921"
...25 to 44 years,"41,068,090","41,070,782","41,103,045","41,230,259","41,453,068","41,719,232","42,037,534","42,391,531","42,797,368","43,261,928","43,717,285","44,151,260"
...45 to 64 years,"39,743,507","39,745,081","39,879,255","40,372,342","40,386,682","40,483,020","40,627,216","40,856,620","41,028,089","41,037,722","40,892,184","40,671,185"
..65 years and over,"17,362,960","17,364,050","17,471,361","17,926,543","18,814,964","19,562,806","20,308,074","21,036,827","21,777,986","22,519,240","23,281,095","24,074,290"
..85 years and over,"1,789,679","1,790,030","1,810,366","1,882,966","1,962,562","2,028,828","2,099,144","2,169,359","2,234,144","2,286,700","2,334,553","2,376,488"
,,,,,,,,,,,,
..16 years and over,"118,315,377","118,322,571","118,633,287","119,823,156","121,041,728","122,173,240","123,345,649","124,532,236","125,735,742","126,806,187","127,703,104","128,577,374"
..18 years and over,"113,836,190","113,843,124","114,165,704","115,418,578","116,715,618","117,900,618","119,079,049","120,252,312","121,403,414","122,460,215","123,437,230","124,348,656"
..15 to 44 years,"63,385,932","63,390,544","63,453,021","63,653,319","63,956,504","64,247,968","64,538,364","64,810,641","65,072,675","65,345,362","65,639,413","65,961,619"
,,,,,,,,,,,,
..Median age (years),35.8,35.8,35.9,36.0,36.1,36.2,36.3,36.4,36.6,36.8,37.0,37.2
.FEMALE,"156,964,212","156,969,328","157,246,908","158,356,816","159,456,593","160,511,789","161,646,584","162,778,769","163,919,526","164,939,619","165,801,767","166,582,199"
..Under 5 years,"9,881,935","9,881,974","9,876,198","9,843,384","9,771,725","9,707,637","9,712,801","9,731,316","9,735,532","9,720,042","9,656,708","9,567,476"
..5 to 9 years,"9,959,019","9,959,069","9,950,930","9,951,142","10,015,432","10,064,945","10,040,750","10,023,239","10,000,153","9,937,741","9,875,661","9,873,133"
..10 to 14 years,"10,097,332","10,097,402","10,102,400","10,126,019","10,109,546","10,106,714","10,118,709","10,092,363","10,098,592","10,166,733","10,214,465","10,180,007"
..15 to 19 years,"10,736,677","10,737,036","10,703,205","10,539,012","10,408,505","10,329,460","10,278,274","10,298,487","10,329,800","10,316,950","10,308,698","10,308,963"
..20 to 24 years,"10,571,823","10,572,322","10,629,216","10,855,607","11,043,233","11,131,494","11,147,661","11,032,073","10,868,770","10,736,534","10,641,921","10,568,188"
..25 to 29 years,"10,466,258","10,466,592","10,482,126","10,535,916","10,562,959","10,635,121","10,805,274","11,017,889","11,257,534","11,447,733","11,518,453","11,504,446"
..30 to 34 years,"9,965,599","9,965,895","10,016,775","10,240,567","10,427,958","10,599,838","10,706,128","10,759,408","10,829,130","10,864,243","10,928,815","11,076,695"
..35 to 39 years,"10,137,620","10,137,913","10,085,444","9,843,032","9,785,086","9,831,574","9,958,412","10,164,245","10,396,533","10,588,771","10,758,746","10,852,580"
..40 to 44 years,"10,496,987","10,497,275","10,503,896","10,577,579","10,572,856","10,493,646","10,342,482","10,142,727","9,910,658","9,857,321","9,900,285","10,014,484"
..45 to 49 years,"11,499,506","11,499,777","11,459,901","11,211,723","10,964,822","10,712,076","10,509,794","10,474,038","10,551,960","10,549,240","10,468,471","10,312,396"
..50 to 54 years,"11,364,851","11,365,056","11,392,162","11,497,985","11,498,516","11,485,169","11,464,428","11,329,905","11,088,209","10,845,455","10,594,662","10,390,540"
..55 to 59 years,"10,141,157","10,141,286","10,206,660","10,442,486","10,702,439","10,903,525","11,041,638","11,173,251","11,276,270","11,275,415","11,258,883","11,234,902"
..60 to 64 years,"8,740,424","8,740,562","8,831,132","9,268,892","9,278,117","9,443,941","9,671,291","9,925,885","10,152,300","10,399,277","10,587,755","10,714,416"
..65 to 69 years,"6,582,716","6,582,845","6,625,768","6,805,250","7,372,538","7,689,601","8,061,485","8,453,256","8,873,124","8,884,148","9,042,012","9,255,228"
..70 to 74 years,"5,034,194","5,034,336","5,062,736","5,204,496","5,414,794","5,723,613","5,966,764","6,174,977","6,346,349","6,881,322","7,181,809","7,528,626"
..75 to 79 years,"4,135,407","4,135,670","4,133,094","4,156,253","4,200,837","4,291,650","4,408,819","4,507,210","4,642,030","4,832,968","5,116,457","5,334,166"
..80 to 84 years,"3,448,953","3,449,345","3,452,124","3,443,246","3,425,155","3,397,666","3,378,779","3,385,979","3,415,185","3,455,253","3,538,219","3,637,483"
..85 years and over,"3,703,754","3,704,973","3,733,141","3,814,227","3,902,075","3,964,119","4,033,095","4,092,521","4,147,397","4,180,473","4,209,747","4,228,470"
,,,,,,,,,,,,
..Under 18 years,"36,236,331","36,236,626","36,211,612","36,126,044","36,037,885","35,987,394","35,988,348","36,013,969","36,031,042","35,999,641","35,870,641","35,730,482"
...Under 5 years,"9,881,935","9,881,974","9,876,198","9,843,384","9,771,725","9,707,637","9,712,801","9,731,316","9,735,532","9,720,042","9,656,708","9,567,476"
...5 to 13 years,"18,025,912","18,026,008","18,030,708","18,056,650","18,104,208","18,144,209","18,091,587","18,067,897","18,091,964","18,082,992","18,049,795","18,014,321"
...14 to 17 years,"8,328,484","8,328,644","8,304,706","8,226,010","8,161,952","8,135,548","8,183,960","8,214,756","8,203,546","8,196,607","8,164,138","8,148,685"
..18 to 64 years,"97,822,857","97,825,533","98,028,433","98,807,300","99,103,309","99,457,746","99,809,294","100,150,857","100,464,399","100,705,814","100,842,882","100,867,744"
...18 to 24 years,"15,010,455","15,011,177","15,050,337","15,189,120","15,310,556","15,352,856","15,309,847","15,163,509","15,001,805","14,878,359","14,826,812","14,767,285"
...25 to 44 years,"41,066,464","41,067,675","41,088,241","41,197,094","41,348,859","41,560,179","41,812,296","42,084,269","42,393,855","42,758,068","43,106,299","43,448,205"
...45 to 64 years,"41,745,938","41,746,681","41,889,855","42,421,086","42,443,894","42,544,711","42,687,151","42,903,079","43,068,739","43,069,387","42,909,771","42,652,254"
..65 years and over,"22,905,024","22,907,169","23,006,863","23,423,472","24,315,399","25,066,649","25,848,942","26,613,943","27,424,085","28,234,164","29,088,244","29,983,973"
..85 years and over,"3,703,754","3,704,973","3,733,141","3,814,227","3,902,075","3,964,119","4,033,095","4,092,521","4,147,397","4,180,473","4,209,747","4,228,470"
,,,,,,,,,,,,
..16 years and over,"124,960,128","124,965,041","125,256,879","126,407,039","127,533,155","128,605,235","129,739,501","130,855,946","132,029,168","133,100,571","134,026,810","134,915,844"
..18 years and over,"120,727,881","120,732,702","121,035,296","122,230,772","123,418,708","124,524,395","125,658,236","126,764,800","127,888,484","128,939,978","129,931,126","130,851,717"
..15 to 44 years,"62,374,964","62,377,033","62,420,662","62,591,713","62,800,597","63,021,133","63,238,231","63,414,829","63,592,425","63,811,552","64,056,918","64,325,356"
,,,,,,,,,,,,
..Median age (years),38.5,38.5,38.5,38.6,38.8,38.9,39.0,39.1,39.2,39.4,39.5,39.7
.NOT HISPANIC,"258,267,944","258,279,494","258,578,781","259,699,630","260,904,289","262,003,381","263,212,815","264,380,421","265,490,424","266,412,009","267,047,632","267,667,286"
