Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
...Under 5 years,"5,022,455","5,022,476","5,010,158","4,961,283","4,908,788","4,865,107","4,856,830","4,854,361","4,836,933","4,814,053","4,773,885","4,722,235"
...5 to 9 years,"5,301,203","5,301,241","5,282,847","5,225,629","5,197,068","5,158,496","5,087,390","5,028,143","4,980,772","4,928,932","4,884,258","4,874,540"
...10 to 14 years,"5,567,323","5,567,370","5,557,188","5,517,771","5,457,346","5,406,593","5,360,842","5,292,958","5,237,597","5,210,933","5,172,182","5,099,703"
...15 to 19 years,"6,031,804","6,032,029","5,999,323","5,859,089","5,751,489","5,673,979","5,611,351","5,573,100","5,534,363","5,473,994","5,421,639","5,374,563"
...20 to 24 years,"6,137,211","6,137,534","6,156,894","6,215,739","6,245,744","6,217,966","6,154,860","6,028,415","5,888,374","5,780,323","5,699,762","5,633,574"
...25 to 29 years,"6,076,369","6,076,578","6,085,327","6,095,164","6,085,080","6,092,515","6,142,519","6,199,652","6,261,727","6,290,748","6,257,678","6,188,431"
...30 to 34 years,"5,715,135","5,715,308","5,743,057","5,867,627","5,962,823","6,047,782","6,092,134","6,109,242","6,122,152","6,113,264","6,117,697","6,162,490"
...35 to 39 years,"5,975,676","5,975,860","5,918,362","5,677,175","5,587,036","5,590,504","5,646,066","5,741,394","5,867,253","5,962,130","6,044,443","6,085,206"
...40 to 44 years,"6,604,224","6,604,383","6,593,784","6,570,032","6,469,502","6,321,351","6,119,162","5,894,214","5,655,501","5,565,859","5,566,960","5,619,312"
...45 to 49 years,"7,730,287","7,730,451","7,682,666","7,398,491","7,130,795","6,858,607","6,638,766","6,534,551","6,512,605","6,413,267","6,265,173","6,063,475"
...50 to 54 years,"7,982,219","7,982,339","7,985,691","8,009,358","7,940,879","7,845,678","7,744,840","7,563,813","7,284,751","7,020,948","6,752,972","6,536,109"
...55 to 59 years,"7,376,139","7,376,213","7,414,429","7,528,930","7,656,179","7,744,260","7,780,915","7,805,497","7,826,132","7,756,476","7,660,793","7,561,494"
...60 to 64 years,"6,585,950","6,586,059","6,643,493","6,936,238","6,858,581","6,927,328","7,044,319","7,185,080","7,292,505","7,411,053","7,492,279","7,525,101"
...65 to 69 years,"5,063,479","5,063,580","5,090,882","5,199,235","5,642,237","5,841,790","6,084,890","6,334,465","6,614,626","6,541,917","6,608,183","6,719,447"
...70 to 74 years,"3,890,710","3,890,819","3,909,352","4,006,748","4,163,189","4,406,371","4,581,911","4,722,037","4,824,078","5,241,205","5,431,189","5,659,370"
...75 to 79 years,"3,272,946","3,273,164","3,264,772","3,255,796","3,269,113","3,325,092","3,403,803","3,460,348","3,552,219","3,692,874","3,915,780","4,072,693"
...80 to 84 years,"2,827,468","2,827,820","2,824,524","2,795,482","2,756,582","2,708,053","2,668,346","2,651,469","2,651,024","2,663,013","2,713,951","2,779,692"
...85 years and over,"3,140,737","3,141,843","3,160,988","3,208,267","3,261,361","3,289,180","3,320,574","3,337,932","3,354,173","3,349,346","3,338,641","3,319,314"
,,,,,,,,,,,,
...Under 18 years,"19,406,261","19,406,439","19,352,351","19,149,039","18,957,119","18,782,885","18,634,738","18,497,799","18,358,676","18,210,247","18,032,996","17,868,715"
....Under 5 years,"5,022,455","5,022,476","5,010,158","4,961,283","4,908,788","4,865,107","4,856,830","4,854,361","4,836,933","4,814,053","4,773,885","4,722,235"
....5 to 13 years,"9,735,921","9,735,993","9,713,760","9,627,260","9,548,195","9,462,326","9,339,548","9,233,866","9,162,244","9,083,807","8,999,137","8,933,776"
....14 to 17 years,"4,647,885","4,647,970","4,628,433","4,560,496","4,500,136","4,455,452","4,438,360","4,409,572","4,359,499","4,312,387","4,259,974","4,212,704"
...18 to 64 years,"62,699,734","62,701,402","62,720,868","62,713,487","62,294,191","61,967,281","61,645,256","61,312,621","60,941,989","60,531,733","60,076,725","59,577,518"
....18 to 24 years,"8,653,735","8,654,211","8,654,059","8,630,472","8,603,316","8,539,256","8,436,535","8,279,178","8,119,363","7,997,988","7,918,730","7,835,900"
....25 to 44 years,"24,371,404","24,372,129","24,340,530","24,209,998","24,104,441","24,052,152","23,999,881","23,944,502","23,906,633","23,932,001","23,986,778","24,055,439"
....45 to 64 years,"29,674,595","29,675,062","29,726,279","29,873,017","29,586,434","29,375,873","29,208,840","29,088,941","28,915,993","28,601,744","28,171,217","27,686,179"
...65 years and over,"18,195,340","18,197,226","18,250,518","18,465,528","19,092,482","19,570,486","20,059,524","20,506,251","20,996,120","21,488,355","22,007,744","22,550,516"
...85 years and over,"3,140,737","3,141,843","3,160,988","3,208,267","3,261,361","3,289,180","3,320,574","3,337,932","3,354,173","3,349,346","3,338,641","3,319,314"
,,,,,,,,,,,,
...16 years and over,"83,258,593","83,262,195","83,325,458","83,496,620","83,663,981","83,783,729","83,931,040","84,031,854","84,153,638","84,219,766","84,230,763","84,242,647"
...18 years and over,"80,895,074","80,898,628","80,971,386","81,179,015","81,386,673","81,537,767","81,704,780","81,818,872","81,938,109","82,020,088","82,084,469","82,128,034"
...15 to 44 years,"36,540,419","36,541,692","36,496,747","36,284,826","36,101,674","35,944,097","35,766,092","35,546,017","35,329,370","35,186,318","35,108,179","35,063,576"
,,,,,,,,,,,,
...Median age (years),43.3,43.3,43.4,43.6,43.8,44.1,44.3,44.6,44.8,45.0,45.1,45.2
.HISPANIC,"44,618,105","44,618,997","44,846,736","45,805,746","46,715,206","47,618,484","48,551,049","49,545,690","50,567,392","51,522,614","52,425,823","53,212,368"
..Under 5 years,"4,383,489","4,383,494","4,395,256","4,422,791","4,400,598","4,374,722","4,384,118","4,393,851","4,394,086","4,397,878","4,385,373","4,357,839"
..5 to 9 years,"4,158,514","4,158,521","4,173,806","4,245,083","4,337,760","4,418,003","4,455,618","4,492,259","4,529,438","4,518,590","4,501,494","4,506,602"
..10 to 14 years,"3,949,585","3,949,602","3,963,448","4,031,643","4,089,437","4,152,056","4,222,312","4,284,192","4,365,076","4,465,654","4,551,912","4,581,514"
..15 to 19 years,"3,959,732","3,959,864","3,969,381","3,991,787","3,993,906","4,010,800","4,042,167","4,111,473","4,190,409","4,257,344","4,324,624","4,385,524"
..20 to 24 years,"3,778,971","3,779,080","3,796,841","3,880,813","3,984,289","4,068,503","4,149,222","4,186,768","4,204,049","4,204,083","4,216,604","4,234,266"
..25 to 29 years,"3,792,608","3,792,710","3,794,277","3,814,054","3,819,290","3,839,944","3,884,534","3,959,524","4,056,735","4,166,990","4,252,098","4,319,596"
..30 to 34 years,"3,650,458","3,650,537","3,665,782","3,727,214","3,789,135","3,843,962","3,887,424","3,903,421","3,940,337","3,956,658","3,982,771","4,017,057"
..35 to 39 years,"3,455,377","3,455,469","3,466,814","3,503,210","3,547,847","3,595,156","3,638,659","3,721,858","3,796,170","3,867,547","3,930,442","3,969,237"
..40 to 44 years,"3,091,634","3,091,723","3,109,513","3,198,708","3,285,402","3,355,702","3,422,507","3,478,812","3,526,751","3,580,494","3,633,618","3,672,303"
..45 to 49 years,"2,716,309","2,716,401","2,733,858","2,813,088","2,878,359","2,947,128","3,006,837","3,090,765","3,185,153","3,276,197","3,349,267","3,412,395"
..50 to 54 years,"2,195,688","2,195,737","2,220,644","2,314,562","2,409,012","2,508,908","2,609,994","2,694,540","2,776,483","2,843,598","2,913,064","2,969,029"
..55 to 59 years,"1,667,296","1,667,331","1,688,749","1,781,795","1,882,753","1,973,978","2,066,402","2,170,163","2,263,065","2,357,063","2,456,658","2,554,547"
..60 to 64 years,"1,250,104","1,250,128","1,268,694","1,346,445","1,402,284","1,469,404","1,549,328","1,638,967","1,728,468","1,825,784","1,914,024","2,001,145"
..65 to 69 years,"870,299","870,310","880,980","932,917","1,006,266","1,074,316","1,143,353","1,218,212","1,292,329","1,345,619","1,409,473","1,483,078"
..70 to 74 years,"645,108","645,117","651,673","677,838","707,890","745,600","784,890","829,666","879,038","948,248","1,012,269","1,075,524"
..75 to 79 years,"473,774","473,782","477,614","496,137","516,163","540,808","566,660","590,815","616,008","644,423","679,687","714,768"
..80 to 84 years,"327,359","327,368","332,347","349,520","365,056","377,077","389,932","405,400","422,704","440,821","463,255","485,523"
..85 years and over,"251,800","251,823","257,059","278,141","299,759","322,417","347,092","375,004","401,093","425,623","449,190","472,421"
,,,,,,,,,,,,
..Under 18 years,"14,854,965","14,855,076","14,898,982","15,070,643","15,202,087","15,333,923","15,486,359","15,657,221","15,832,942","15,964,796","16,041,036","16,075,399"
...Under 5 years,"4,383,489","4,383,494","4,395,256","4,422,791","4,400,598","4,374,722","4,384,118","4,393,851","4,394,086","4,397,878","4,385,373","4,357,839"
...5 to 13 years,"7,329,140","7,329,156","7,360,569","7,492,748","7,632,684","7,761,082","7,836,326","7,928,887","8,047,283","8,120,767","8,170,769","8,186,120"
...14 to 17 years,"3,142,336","3,142,426","3,143,157","3,155,104","3,168,805","3,198,119","3,265,915","3,334,483","3,391,573","3,446,151","3,484,894","3,531,440"
..18 to 64 years,"27,194,800","27,195,521","27,348,081","28,000,550","28,617,985","29,224,343","29,832,763","30,469,372","31,123,278","31,753,084","32,370,913","32,905,655"
...18 to 24 years,"5,375,326","5,375,485","5,399,750","5,501,474","5,603,903","5,690,161","5,767,078","5,811,322","5,850,116","5,878,753","5,938,971","5,990,346"
...25 to 44 years,"13,990,077","13,990,439","14,036,386","14,243,186","14,441,674","14,634,764","14,833,124","15,063,615","15,319,993","15,571,689","15,798,929","15,978,193"
...45 to 64 years,"7,829,397","7,829,597","7,911,945","8,255,890","8,572,408","8,899,418","9,232,561","9,594,435","9,953,169","10,302,642","10,633,013","10,937,116"
..65 years and over,"2,568,340","2,568,400","2,599,673","2,734,553","2,895,134","3,060,218","3,231,927","3,419,097","3,611,172","3,804,734","4,013,874","4,231,314"
..85 years and over,"251,800","251,823","257,059","278,141","299,759","322,417","347,092","375,004","401,093","425,623","449,190","472,421"
,,,,,,,,,,,,
..16 years and over,"31,344,803","31,345,644","31,530,278","32,324,212","33,098,728","33,874,117","34,673,803","35,526,790","36,423,729","37,286,253","38,116,973","38,879,395"
..18 years and over,"29,763,140","29,763,921","29,947,754","30,735,103","31,513,119","32,284,561","33,064,690","33,888,469","34,734,450","35,557,818","36,384,787","37,136,969"
..15 to 44 years,"21,728,780","21,729,383","21,802,608","22,115,786","22,419,869","22,714,067","23,024,513","23,361,856","23,714,451","24,033,116","24,340,157","24,597,983"
,,,,,,,,,,,,
..Median age (years),27.8,27.8,27.8,28.1,28.3,28.6,28.9,29.2,29.4,29.7,30.0,30.3
..MALE,"22,681,299","22,682,009","22,788,596","23,240,597","23,676,124","24,111,025","24,568,631","25,064,752","25,573,012","26,046,717","26,490,731","26,879,242"
...Under 5 years,"2,236,860","2,236,861","2,242,649","2,255,786","2,243,656","2,228,632","2,234,422","2,239,962","2,240,268","2,243,094","2,237,470","2,223,407"
...5 to 9 years,"2,121,642","2,121,646","2,128,817","2,164,582","2,211,528","2,253,936","2,273,282","2,290,445","2,308,874","2,302,883","2,292,595","2,296,153"
...10 to 14 years,"2,019,768","2,019,780","2,025,649","2,056,773","2,083,244","2,112,089","2,147,378","2,179,375","2,222,305","2,275,147","2,321,984","2,337,814"
...15 to 19 years,"2,053,672","2,053,787","2,056,861","2,060,721","2,055,002","2,057,569","2,069,163","2,102,701","2,140,653","2,172,778","2,204,563","2,234,729"
...20 to 24 years,"2,021,489","2,021,570","2,027,280","2,057,046","2,100,045","2,132,558","2,164,646","2,175,667","2,176,643","2,169,213","2,168,747","2,172,553"
...25 to 29 years,"2,011,105","2,011,186","2,011,565","2,022,655","2,026,329","2,036,901","2,059,080","2,094,157","2,137,572","2,186,748","2,220,549","2,245,977"
...30 to 34 years,"1,904,029","1,904,094","1,912,922","1,945,613","1,980,176","2,010,459","2,035,485","2,047,018","2,072,988","2,086,246","2,102,424","2,120,367"
...35 to 39 years,"1,771,857","1,771,934","1,776,688","1,794,889","1,818,745","1,847,828","1,874,578","1,924,620","1,967,276","2,008,646","2,044,411","2,068,338"
...40 to 44 years,"1,588,568","1,588,644","1,597,273","1,637,501","1,677,603","1,708,440","1,739,216","1,767,438","1,794,099","1,824,527","1,857,807","1,882,946"
...45 to 49 years,"1,374,665","1,374,743","1,384,579","1,428,069","1,462,397","1,499,404","1,531,461","1,574,057","1,618,141","1,661,379","1,694,160","1,723,450"
...50 to 54 years,"1,091,236","1,091,278","1,103,914","1,152,390","1,202,242","1,254,373","1,306,485","1,351,465","1,396,561","1,432,166","1,469,952","1,500,654"
...55 to 59 years,"805,655","805,687","816,856","862,815","913,391","960,295","1,009,159","1,064,698","1,113,138","1,162,997","1,214,699","1,265,154"
...60 to 64 years,"588,235","588,253","596,993","635,652","663,123","695,033","733,385","778,108","821,873","870,356","915,688","962,245"
...65 to 69 years,"393,689","393,698","398,950","423,771","459,107","492,805","526,320","561,384","597,580","623,223","653,206","688,244"
...70 to 74 years,"281,998","282,003","285,073","296,621","310,291","326,839","344,334","365,412","388,448","421,249","452,768","483,526"
...75 to 79 years,"198,473","198,477","200,157","208,190","216,963","228,104","239,387","250,065","260,778","273,120","288,193","303,585"
...80 to 84 years,"129,962","129,966","132,105","139,491","146,022","150,766","156,302","162,884","170,382","178,189","188,109","197,619"
...85 years and over,"88,396","88,402","90,265","98,032","106,260","114,994","124,548","135,296","145,433","154,756","163,406","172,481"
,,,,,,,,,,,,
...Under 18 years,"7,597,279","7,597,367","7,617,202","7,694,779","7,754,579","7,816,153","7,892,783","7,979,164","8,068,713","8,137,096","8,175,503","8,194,872"
....Under 5 years,"2,236,860","2,236,861","2,242,649","2,255,786","2,243,656","2,228,632","2,234,422","2,239,962","2,240,268","2,243,094","2,237,470","2,223,407"
....5 to 13 years,"3,742,135","3,742,144","3,757,070","3,820,854","3,889,413","3,954,333","3,991,422","4,038,894","4,100,653","4,139,711","4,165,570","4,173,418"
....14 to 17 years,"1,618,284","1,618,362","1,617,483","1,618,139","1,621,510","1,633,188","1,666,939","1,700,308","1,727,792","1,754,291","1,772,463","1,798,047"
...18 to 64 years,"13,991,502","13,992,096","14,064,844","14,379,713","14,682,902","14,981,364","15,284,957","15,610,547","15,941,678","16,259,084","16,569,546","16,838,915"
....18 to 24 years,"2,856,152","2,856,277","2,864,054","2,900,129","2,938,896","2,968,631","2,996,108","3,008,986","3,020,030","3,026,019","3,049,856","3,069,784"
....25 to 44 years,"7,275,559","7,275,858","7,298,448","7,400,658","7,502,853","7,603,628","7,708,359","7,833,233","7,971,935","8,106,167","8,225,191","8,317,628"
....45 to 64 years,"3,859,791","3,859,961","3,902,342","4,078,926","4,241,153","4,409,105","4,580,490","4,768,328","4,949,713","5,126,898","5,294,499","5,451,503"
...65 years and over,"1,092,518","1,092,546","1,106,550","1,166,105","1,238,643","1,313,508","1,390,891","1,475,041","1,562,621","1,650,537","1,745,682","1,845,455"
...85 years and over,"88,396","88,402","90,265","98,032","106,260","114,994","124,548","135,296","145,433","154,756","163,406","172,481"
,,,,,,,,,,,,
...16 years and over,"15,901,859","15,902,533","15,989,309","16,363,474","16,734,828","17,108,365","17,498,435","17,921,890","18,366,726","18,791,371","19,196,930","19,570,539"
...18 years and over,"15,084,020","15,084,642","15,171,394","15,545,818","15,921,545","16,294,872","16,675,848","17,085,588","17,504,299","17,909,621","18,315,228","18,684,370"
...15 to 44 years,"11,350,720","11,351,215","11,382,589","11,518,425","11,657,900","11,793,755","11,942,168","12,111,601","12,289,231","12,448,158","12,598,501","12,724,910"
,,,,,,,,,,,,
...Median age (years),27.2,27.2,27.3,27.5,27.8,28.1,28.4,28.7,28.9,29.2,29.5,29.8
..FEMALE,"21,936,806","21,936,988","22,058,140","22,565,149","23,039,082","23,507,459","23,982,418","24,480,938","24,994,380","25,475,897","25,935,092","26,333,126"
...Under 5 years,"2,146,629","2,146,633","2,152,607","2,167,005","2,156,942","2,146,090","2,149,696","2,153,889","2,153,818","2,154,784","2,147,903","2,134,432"
...5 to 9 years,"2,036,872","2,036,875","2,044,989","2,080,501","2,126,232","2,164,067","2,182,336","2,201,814","2,220,564","2,215,707","2,208,899","2,210,449"
...10 to 14 years,"1,929,817","1,929,822","1,937,799","1,974,870","2,006,193","2,039,967","2,074,934","2,104,817","2,142,771","2,190,507","2,229,928","2,243,700"
...15 to 19 years,"1,906,060","1,906,077","1,912,520","1,931,066","1,938,904","1,953,231","1,973,004","2,008,772","2,049,756","2,084,566","2,120,061","2,150,795"
...20 to 24 years,"1,757,482","1,757,510","1,769,561","1,823,767","1,884,244","1,935,945","1,984,576","2,011,101","2,027,406","2,034,870","2,047,857","2,061,713"
...25 to 29 years,"1,781,503","1,781,524","1,782,712","1,791,399","1,792,961","1,803,043","1,825,454","1,865,367","1,919,163","1,980,242","2,031,549","2,073,619"
...30 to 34 years,"1,746,429","1,746,443","1,752,860","1,781,601","1,808,959","1,833,503","1,851,939","1,856,403","1,867,349","1,870,412","1,880,347","1,896,690"
...35 to 39 years,"1,683,520","1,683,535","1,690,126","1,708,321","1,729,102","1,747,328","1,764,081","1,797,238","1,828,894","1,858,901","1,886,031","1,900,899"
...40 to 44 years,"1,503,066","1,503,079","1,512,240","1,561,207","1,607,799","1,647,262","1,683,291","1,711,374","1,732,652","1,755,967","1,775,811","1,789,357"
...45 to 49 years,"1,341,644","1,341,658","1,349,279","1,385,019","1,415,962","1,447,724","1,475,376","1,516,708","1,567,012","1,614,818","1,655,107","1,688,945"
...50 to 54 years,"1,104,452","1,104,459","1,116,730","1,162,172","1,206,770","1,254,535","1,303,509","1,343,075","1,379,922","1,411,432","1,443,112","1,468,375"
...55 to 59 years,"861,641","861,644","871,893","918,980","969,362","1,013,683","1,057,243","1,105,465","1,149,927","1,194,066","1,241,959","1,289,393"
...60 to 64 years,"661,869","661,875","671,701","710,793","739,161","774,371","815,943","860,859","906,595","955,428","998,336","1,038,900"
...65 to 69 years,"476,610","476,612","482,030","509,146","547,159","581,511","617,033","656,828","694,749","722,396","756,267","794,834"
...70 to 74 years,"363,110","363,114","366,600","381,217","397,599","418,761","440,556","464,254","490,590","526,999","559,501","591,998"
...75 to 79 years,"275,301","275,305","277,457","287,947","299,200","312,704","327,273","340,750","355,230","371,303","391,494","411,183"
...80 to 84 years,"197,397","197,402","200,242","210,029","219,034","226,311","233,630","242,516","252,322","262,632","275,146","287,904"
...85 years and over,"163,404","163,421","166,794","180,109","193,499","207,423","222,544","239,708","255,660","270,867","285,784","299,940"
,,,,,,,,,,,,
...Under 18 years,"7,257,686","7,257,709","7,281,780","7,375,864","7,447,508","7,517,770","7,593,576","7,678,057","7,764,229","7,827,700","7,865,533","7,880,527"
....Under 5 years,"2,146,629","2,146,633","2,152,607","2,167,005","2,156,942","2,146,090","2,149,696","2,153,889","2,153,818","2,154,784","2,147,903","2,134,432"
....5 to 13 years,"3,587,005","3,587,012","3,603,499","3,671,894","3,743,271","3,806,749","3,844,904","3,889,993","3,946,630","3,981,056","4,005,199","4,012,702"
....14 to 17 years,"1,524,052","1,524,064","1,525,674","1,536,965","1,547,295","1,564,931","1,598,976","1,634,175","1,663,781","1,691,860","1,712,431","1,733,393"
...18 to 64 years,"13,203,298","13,203,425","13,283,237","13,620,837","13,935,083","14,242,979","14,547,806","14,858,825","15,181,600","15,494,000","15,801,367","16,066,740"
....18 to 24 years,"2,519,174","2,519,208","2,535,696","2,601,345","2,665,007","2,721,530","2,770,970","2,802,336","2,830,086","2,852,734","2,889,115","2,920,562"
....25 to 44 years,"6,714,518","6,714,581","6,737,938","6,842,528","6,938,821","7,031,136","7,124,765","7,230,382","7,348,058","7,465,522","7,573,738","7,660,565"
....45 to 64 years,"3,969,606","3,969,636","4,009,603","4,176,964","4,331,255","4,490,313","4,652,071","4,826,107","5,003,456","5,175,744","5,338,514","5,485,613"
...65 years and over,"1,475,822","1,475,854","1,493,123","1,568,448","1,656,491","1,746,710","1,841,036","1,944,056","2,048,551","2,154,197","2,268,192","2,385,859"
...85 years and over,"163,404","163,421","166,794","180,109","193,499","207,423","222,544","239,708","255,660","270,867","285,784","299,940"
,,,,,,,,,,,,
...16 years and over,"15,442,944","15,443,111","15,540,969","15,960,738","16,363,900","16,765,752","17,175,368","17,604,900","18,057,003","18,494,882","18,920,043","19,308,856"
...18 years and over,"14,679,120","14,679,279","14,776,360","15,189,285","15,591,574","15,989,689","16,388,842","16,802,881","17,230,151","17,648,197","18,069,559","18,452,599"
...15 to 44 years,"10,378,060","10,378,168","10,420,019","10,597,361","10,761,969","10,920,312","11,082,345","11,250,255","11,425,220","11,584,958","11,741,656","11,873,073"
,,,,,,,,,,,,
...Median age (years),28.4,28.4,28.4,28.7,28.9,29.2,29.5,29.7,30.0,30.2,30.5,30.8
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. Median age is calculated based on single year of age. Hispanic origin is considered an ethnicity, not a race. Hispanics may be of any race. Responses of ""Some Other Race"" from the 2010 Census are modified. This results in differences between the population for specific race categories shown for the 2010 Census population in this table versus those in the original 2010 Census data. For more information, see https://www2.census.gov/programs-surveys/popest/technical-documentation/methodology/modified-race-summary-file-method/mrsf2010.pdf. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. ",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Annual Estimates of the Resident Population by Sex, Age, Race, and Hispanic Origin for the United States: April 1, 2010 to July 1, 2019 (NC-EST2019-ASR6H)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2020,,,,,,,,,,,,
