Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
..50 to 54 years,"463,406","463,408","467,281","476,174","487,266","504,299","522,227","532,946","546,345","554,746","560,767","573,499"
..55 to 59 years,"389,362","389,362","393,127","412,751","430,421","446,924","459,893","474,901","483,707","494,152","509,588","525,283"
..60 to 64 years,"315,688","315,688","321,035","340,122","354,215","367,951","382,673","397,394","417,136","434,033","448,655","459,796"
..65 to 69 years,"219,379","219,379","222,370","235,247","253,861","274,909","296,838","321,254","339,755","353,231","365,705","378,674"
..70 to 74 years,"163,134","163,136","165,541","175,025","185,144","194,843","205,709","216,856","229,503","247,495","267,021","286,774"
..75 to 79 years,"107,559","107,561","108,916","116,553","124,992","133,865","143,398","153,677","162,659","172,045","180,915","190,490"
..80 to 84 years,"67,047","67,050","68,159","72,584","77,129","82,281","87,804","93,601","100,640","108,065","115,768","123,778"
..85 years and over,"51,855","51,857","53,008","57,781","63,154","68,489","74,420","81,263","87,857","94,741","102,211","109,926"
,,,,,,,,,,,,
..Under 18 years,"1,724,699","1,724,704","1,730,538","1,755,868","1,783,432","1,817,307","1,851,637","1,891,102","1,925,605","1,955,294","1,967,860","1,977,006"
...Under 5 years,"482,729","482,729","482,843","483,078","484,507","489,963","498,963","511,338","523,815","530,388","525,930","521,862"
...5 to 13 years,"855,368","855,369","859,751","880,373","903,060","927,646","944,250","959,749","973,388","983,499","993,568","1,001,552"
...14 to 17 years,"386,602","386,606","387,944","392,417","395,865","399,698","408,424","420,015","428,402","441,407","448,362","453,592"
..18 to 64 years,"4,884,804","4,884,878","4,918,681","5,071,521","5,223,858","5,372,470","5,535,816","5,702,610","5,868,966","6,017,589","6,128,362","6,240,957"
...18 to 24 years,"801,582","801,626","805,427","826,364","848,816","866,085","880,204","889,300","893,081","895,660","895,333","898,400"
...25 to 44 years,"2,396,895","2,396,920","2,411,700","2,482,256","2,560,270","2,636,630","2,725,207","2,819,187","2,915,101","2,996,417","3,051,640","3,107,654"
...45 to 64 years,"1,686,327","1,686,332","1,701,554","1,762,901","1,814,772","1,869,755","1,930,405","1,994,123","2,060,784","2,125,512","2,181,389","2,234,903"
..65 years and over,"608,974","608,983","617,994","657,190","704,280","754,387","808,169","866,651","920,414","975,577","1,031,620","1,089,642"
..85 years and over,"51,855","51,857","53,008","57,781","63,154","68,489","74,420","81,263","87,857","94,741","102,211","109,926"
,,,,,,,,,,,,
..16 years and over,"5,689,879","5,689,964","5,733,903","5,928,125","6,129,967","6,331,310","6,550,069","6,776,837","7,003,818","7,217,064","7,383,706","7,556,838"
..18 years and over,"5,493,778","5,493,861","5,536,675","5,728,711","5,928,138","6,126,857","6,343,985","6,569,261","6,789,380","6,993,166","7,159,982","7,330,599"
..15 to 44 years,"3,490,258","3,490,330","3,509,842","3,605,377","3,708,690","3,805,590","3,910,788","4,021,595","4,131,913","4,222,859","4,283,042","4,346,312"
,,,,,,,,,,,,
..Median age (years),34.0,34.0,34.0,34.2,34.4,34.5,34.7,34.8,35.0,35.2,35.6,35.9
.FEMALE,"7,941,039","7,941,078","7,994,195","8,236,493","8,483,522","8,735,588","9,007,947","9,292,381","9,564,964","9,815,777","10,006,263","10,197,257"
..Under 5 years,"464,814","464,815","464,650","463,716","464,716","467,528","473,867","483,590","495,073","500,765","496,708","493,188"
..5 to 9 years,"486,737","486,737","487,814","494,479","504,148","510,881","513,814","517,159","517,363","519,078","519,911","522,824"
..10 to 14 years,"457,651","457,651","461,203","473,252","483,081","498,637","516,806","529,330","536,150","544,896","548,676","548,402"
..15 to 19 years,"486,242","486,248","486,354","488,809","496,615","506,982","517,202","531,218","544,464","553,613","564,514","578,033"
..20 to 24 years,"568,309","568,315","572,653","596,616","614,500","624,962","632,121","637,524","641,434","647,256","647,072","646,584"
..25 to 29 years,"669,727","669,728","672,312","688,176","699,801","716,568","744,505","774,120","804,300","824,197","824,563","817,605"
..30 to 34 years,"682,350","682,353","686,163","707,969","735,007","762,440","787,942","811,340","834,931","850,491","862,515","881,213"
..35 to 39 years,"705,281","705,284","707,410","716,097","723,178","730,229","745,046","766,711","790,937","819,580","845,081","866,255"
..40 to 44 years,"629,688","629,691","636,831","666,860","701,748","726,534","745,003","759,127","770,348","778,427","782,880","793,322"
..45 to 49 years,"586,815","586,818","588,449","602,545","614,262","625,368","642,000","670,276","699,569","733,383","755,582","771,131"
..50 to 54 years,"540,975","540,976","544,872","553,770","563,652","581,938","602,185","612,567","625,579","635,987","644,319","657,903"
..55 to 59 years,"473,660","473,663","477,964","498,881","517,818","535,320","549,536","565,214","575,220","585,128","600,795","617,747"
..60 to 64 years,"387,384","387,385","394,505","421,562","439,581","457,777","476,321","494,682","516,261","535,326","551,329","563,222"
..65 to 69 years,"263,910","263,910","268,280","285,548","310,818","339,657","369,794","403,304","431,408","450,310","467,430","483,921"
..70 to 74 years,"197,531","197,532","199,974","211,356","224,957","237,417","253,155","269,522","286,605","311,232","338,578","366,479"
..75 to 79 years,"147,757","147,757","148,876","156,051","163,965","171,856","181,468","192,650","203,585","216,406","227,776","241,926"
..80 to 84 years,"104,346","104,348","105,853","111,652","117,033","123,174","128,420","133,763","140,490","147,755","154,984","163,352"
..85 years and over,"87,862","87,867","90,032","99,154","108,642","118,320","128,762","140,284","151,247","161,947","173,550","184,150"
,,,,,,,,,,,,
..Under 18 years,"1,686,195","1,686,198","1,692,277","1,716,765","1,743,599","1,774,062","1,804,897","1,839,128","1,868,253","1,892,652","1,899,897","1,904,604"
...Under 5 years,"464,814","464,815","464,650","463,716","464,716","467,528","473,867","483,590","495,073","500,765","496,708","493,188"
...5 to 13 years,"852,112","852,112","856,115","873,659","892,349","914,413","928,979","941,090","949,343","953,263","956,372","958,630"
...14 to 17 years,"369,269","369,271","371,512","379,390","386,534","392,121","402,051","414,448","423,837","438,624","446,817","452,786"
..18 to 64 years,"5,453,438","5,453,466","5,488,903","5,655,967","5,814,508","5,971,102","6,141,451","6,313,730","6,483,376","6,635,475","6,744,048","6,852,825"
...18 to 24 years,"777,558","777,568","780,397","800,107","819,461","834,928","848,913","859,693","866,231","872,956","876,984","884,427"
...25 to 44 years,"2,687,046","2,687,056","2,702,716","2,779,102","2,859,734","2,935,771","3,022,496","3,111,298","3,200,516","3,272,695","3,315,039","3,358,395"
...45 to 64 years,"1,988,834","1,988,842","2,005,790","2,076,758","2,135,313","2,200,403","2,270,042","2,342,739","2,416,629","2,489,824","2,552,025","2,610,003"
..65 years and over,"801,406","801,414","813,015","863,761","925,415","990,424","1,061,599","1,139,523","1,213,335","1,287,650","1,362,318","1,439,828"
..85 years and over,"87,862","87,867","90,032","99,154","108,642","118,320","128,762","140,284","151,247","161,947","173,550","184,150"
,,,,,,,,,,,,
