Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
..10 to 14 years,"46,754","46,754","46,869","47,449","48,076","49,087","50,089","51,226","52,713","54,586","55,999","57,330"
..15 to 19 years,"47,571","47,574","47,486","46,599","46,388","46,724","47,219","47,758","48,453","49,141","50,173","51,112"
..20 to 24 years,"46,868","46,869","47,218","48,761","49,539","49,786","49,417","48,789","47,901","47,764","48,019","48,489"
..25 to 29 years,"44,188","44,188","44,203","44,436","44,769","45,370","46,678","48,253","49,965","50,703","50,816","50,465"
..30 to 34 years,"41,575","41,575","41,835","42,780","43,651","44,312","44,873","44,909","45,222","45,575","46,241","47,459"
..35 to 39 years,"36,557","36,557","36,779","37,611","38,771","39,830","40,957","42,258","43,225","44,004","44,600","45,133"
..40 to 44 years,"31,770","31,770","32,113","33,410","34,592","35,618","36,286","37,005","37,889","39,032","40,013","41,009"
..45 to 49 years,"27,101","27,101","27,237","28,061","28,924","29,646","30,687","31,984","33,281","34,446","35,515","36,156"
..50 to 54 years,"21,630","21,630","21,946","22,933","23,995","25,260","26,140","27,062","27,873","28,662","29,314","30,323"
..55 to 59 years,"15,729","15,729","15,965","17,136","18,215","19,203","20,457","21,716","22,706","23,777","25,024","25,866"
..60 to 64 years,"10,981","10,981","11,235","12,233","12,934","13,719","14,602","15,618","16,750","17,824","18,811","20,016"
..65 to 69 years,"7,176","7,176","7,261","7,770","8,526","9,281","10,077","10,899","11,850","12,516","13,243","14,032"
..70 to 74 years,"4,969","4,969","5,052","5,356","5,639","6,040","6,423","6,876","7,377","8,113","8,841","9,553"
..75 to 79 years,"3,397","3,397","3,456","3,675","3,898","4,114","4,368","4,658","4,932","5,185","5,564","5,927"
..80 to 84 years,"2,153","2,153","2,160","2,249","2,420","2,594","2,728","2,948","3,170","3,380","3,573","3,790"
..85 years and over,"1,692","1,692","1,740","1,880","2,019","2,145","2,318","2,482","2,643","2,858","3,076","3,294"
,,,,,,,,,,,,
..Under 18 years,"182,155","182,157","182,275","183,339","184,684","186,241","188,043","190,286","192,792","194,720","196,227","197,538"
...Under 5 years,"57,375","57,375","57,190","56,100","54,730","53,640","52,614","52,581","54,166","55,181","55,622","55,794"
...5 to 13 years,"88,094","88,094","88,416","90,368","92,779","95,026","97,271","98,996","99,323","99,414","99,637","99,706"
...14 to 17 years,"36,686","36,688","36,669","36,871","37,175","37,575","38,158","38,709","39,303","40,125","40,968","42,038"
..18 to 64 years,"296,458","296,460","298,470","306,341","313,980","321,498","328,877","336,395","343,879","351,216","358,153","364,849"
...18 to 24 years,"66,927","66,929","67,157","67,741","68,129","68,540","68,197","67,590","66,968","67,193","67,819","68,422"
...25 to 44 years,"154,090","154,090","154,930","158,237","161,783","165,130","168,794","172,425","176,301","179,314","181,670","184,066"
...45 to 64 years,"75,441","75,441","76,383","80,363","84,068","87,828","91,886","96,380","100,610","104,709","108,664","112,361"
..65 years and over,"19,387","19,387","19,669","20,930","22,502","24,174","25,914","27,863","29,972","32,052","34,297","36,596"
..85 years and over,"1,692","1,692","1,740","1,880","2,019","2,145","2,318","2,482","2,643","2,858","3,076","3,294"
,,,,,,,,,,,,
..16 years and over,"334,217","334,220","336,450","345,744","354,999","364,237","373,593","383,460","393,441","403,026","412,376","422,005"
..18 years and over,"315,845","315,847","318,139","327,271","336,482","345,672","354,791","364,258","373,851","383,268","392,450","401,445"
..15 to 44 years,"248,529","248,533","249,634","253,597","257,710","261,640","265,430","268,972","272,655","276,219","279,862","283,667"
,,,,,,,,,,,,
..Median age (years),25.0,25.0,25.1,25.5,25.8,26.2,26.6,26.9,27.2,27.6,28.0,28.4
..MALE,"248,654","248,658","249,857","254,851","260,065","265,269","270,553","276,381","282,502","288,243","293,583","298,796"
...Under 5 years,"29,546","29,546","29,447","28,794","28,026","27,429","26,840","26,771","27,610","28,149","28,463","28,570"
...5 to 9 years,"25,893","25,893","25,988","26,836","27,874","28,602","29,284","29,570","28,945","28,215","27,673","27,150"
...10 to 14 years,"23,672","23,672","23,718","24,118","24,469","25,053","25,631","26,253","27,086","28,111","28,805","29,464"
...15 to 19 years,"24,039","24,042","23,984","23,541","23,474","23,645","23,948","24,223","24,729","25,134","25,704","26,244"
...20 to 24 years,"23,776","23,777","23,985","24,654","24,996","25,120","24,935","24,660","24,244","24,268","24,435","24,749"
...25 to 29 years,"22,770","22,770","22,723","22,719","22,875","23,089","23,550","24,354","25,105","25,373","25,409","25,281"
...30 to 34 years,"21,054","21,054","21,234","21,806","22,149","22,527","22,858","22,801","22,984","23,230","23,514","23,931"
...35 to 39 years,"18,212","18,212","18,349","18,737","19,378","19,918","20,526","21,244","21,808","22,136","22,541","22,946"
...40 to 44 years,"15,686","15,686","15,843","16,597","17,176","17,586","17,934","18,345","18,733","19,344","19,857","20,411"
...45 to 49 years,"13,235","13,235","13,300","13,678","14,215","14,629","15,085","15,713","16,448","17,000","17,436","17,751"
...50 to 54 years,"10,395","10,395","10,560","11,095","11,555","12,121","12,585","13,099","13,493","14,005","14,375","14,820"
...55 to 59 years,"7,345","7,345","7,449","8,027","8,583","9,079","9,755","10,362","10,884","11,359","11,929","12,398"
...60 to 64 years,"4,948","4,948","5,074","5,523","5,891","6,326","6,676","7,224","7,795","8,354","8,839","9,489"
...65 to 69 years,"3,215","3,215","3,245","3,459","3,793","4,126","4,565","4,861","5,271","5,607","5,997","6,295"
...70 to 74 years,"2,133","2,133","2,178","2,313","2,448","2,637","2,775","2,993","3,197","3,510","3,806","4,198"
...75 to 79 years,"1,350","1,350","1,380","1,484","1,566","1,666","1,780","1,931","2,049","2,168","2,347","2,471"
...80 to 84 years,778,778,782,815,902,991,"1,033","1,142","1,235","1,308","1,394","1,493"
...85 years and over,607,607,618,655,695,725,793,835,886,972,"1,059","1,135"
,,,,,,,,,,,,
...Under 18 years,"93,068","93,070","93,139","93,752","94,488","95,162","96,145","97,319","98,705","99,734","100,482","101,143"
....Under 5 years,"29,546","29,546","29,447","28,794","28,026","27,429","26,840","26,771","27,610","28,149","28,463","28,570"
....5 to 13 years,"44,954","44,954","45,138","46,279","47,651","48,768","49,930","50,807","50,964","51,033","51,017","51,019"
....14 to 17 years,"18,568","18,570","18,554","18,679","18,811","18,965","19,375","19,741","20,131","20,552","21,002","21,554"
...18 to 64 years,"147,503","147,505","148,515","152,373","156,173","159,962","163,462","167,300","171,159","174,944","178,498","182,061"
....18 to 24 years,"33,858","33,860","33,983","34,191","34,351","34,687","34,493","34,158","33,909","34,143","34,598","35,034"
....25 to 44 years,"77,722","77,722","78,149","79,859","81,578","83,120","84,868","86,744","88,630","90,083","91,321","92,569"
....45 to 64 years,"35,923","35,923","36,383","38,323","40,244","42,155","44,101","46,398","48,620","50,718","52,579","54,458"
...65 years and over,"8,083","8,083","8,203","8,726","9,404","10,145","10,946","11,762","12,638","13,565","14,603","15,592"
...85 years and over,607,607,618,655,695,725,793,835,886,972,"1,059","1,135"
,,,,,,,,,,,,
...16 years and over,"164,864","164,867","165,944","170,523","175,003","179,470","183,891","188,785","193,821","198,679","203,334","208,140"
...18 years and over,"155,586","155,588","156,718","161,099","165,577","170,107","174,408","179,062","183,797","188,509","193,101","197,653"
...15 to 44 years,"125,537","125,541","126,118","128,054","130,048","131,885","133,751","135,627","137,603","139,485","141,460","143,562"
,,,,,,,,,,,,
...Median age (years),24.4,24.4,24.5,24.9,25.3,25.6,25.9,26.3,26.6,27.0,27.4,27.7
..FEMALE,"249,346","249,346","250,557","255,759","261,101","266,644","272,281","278,163","284,141","289,745","295,094","300,187"
...Under 5 years,"27,829","27,829","27,743","27,306","26,704","26,211","25,774","25,810","26,556","27,032","27,159","27,224"
...5 to 9 years,"24,621","24,621","24,681","25,335","26,206","26,942","27,617","27,952","27,582","27,026","26,560","26,085"
...10 to 14 years,"23,082","23,082","23,151","23,331","23,607","24,034","24,458","24,973","25,627","26,475","27,194","27,866"
...15 to 19 years,"23,532","23,532","23,502","23,058","22,914","23,079","23,271","23,535","23,724","24,007","24,469","24,868"
...20 to 24 years,"23,092","23,092","23,233","24,107","24,543","24,666","24,482","24,129","23,657","23,496","23,584","23,740"
...25 to 29 years,"21,418","21,418","21,480","21,717","21,894","22,281","23,128","23,899","24,860","25,330","25,407","25,184"
...30 to 34 years,"20,521","20,521","20,601","20,974","21,502","21,785","22,015","22,108","22,238","22,345","22,727","23,528"
...35 to 39 years,"18,345","18,345","18,430","18,874","19,393","19,912","20,431","21,014","21,417","21,868","22,059","22,187"
...40 to 44 years,"16,084","16,084","16,270","16,813","17,416","18,032","18,352","18,660","19,156","19,688","20,156","20,598"
...45 to 49 years,"13,866","13,866","13,937","14,383","14,709","15,017","15,602","16,271","16,833","17,446","18,079","18,405"
...50 to 54 years,"11,235","11,235","11,386","11,838","12,440","13,139","13,555","13,963","14,380","14,657","14,939","15,503"
...55 to 59 years,"8,384","8,384","8,516","9,109","9,632","10,124","10,702","11,354","11,822","12,418","13,095","13,468"
...60 to 64 years,"6,033","6,033","6,161","6,710","7,043","7,393","7,926","8,394","8,955","9,470","9,972","10,527"
...65 to 69 years,"3,961","3,961","4,016","4,311","4,733","5,155","5,512","6,038","6,579","6,909","7,246","7,737"
...70 to 74 years,"2,836","2,836","2,874","3,043","3,191","3,403","3,648","3,883","4,180","4,603","5,035","5,355"
...75 to 79 years,"2,047","2,047","2,076","2,191","2,332","2,448","2,588","2,727","2,883","3,017","3,217","3,456"
...80 to 84 years,"1,375","1,375","1,378","1,434","1,518","1,603","1,695","1,806","1,935","2,072","2,179","2,297"
...85 years and over,"1,085","1,085","1,122","1,225","1,324","1,420","1,525","1,647","1,757","1,886","2,017","2,159"
,,,,,,,,,,,,
...Under 18 years,"89,087","89,087","89,136","89,587","90,196","91,079","91,898","92,967","94,087","94,986","95,745","96,395"
....Under 5 years,"27,829","27,829","27,743","27,306","26,704","26,211","25,774","25,810","26,556","27,032","27,159","27,224"
....5 to 13 years,"43,140","43,140","43,278","44,089","45,128","46,258","47,341","48,189","48,359","48,381","48,620","48,687"
....14 to 17 years,"18,118","18,118","18,115","18,192","18,364","18,610","18,783","18,968","19,172","19,573","19,966","20,484"
...18 to 64 years,"148,955","148,955","149,955","153,968","157,807","161,536","165,415","169,095","172,720","176,272","179,655","182,788"
....18 to 24 years,"33,069","33,069","33,174","33,550","33,778","33,853","33,704","33,432","33,059","33,050","33,221","33,388"
....25 to 44 years,"76,368","76,368","76,781","78,378","80,205","82,010","83,926","85,681","87,671","89,231","90,349","91,497"
....45 to 64 years,"39,518","39,518","40,000","42,040","43,824","45,673","47,785","49,982","51,990","53,991","56,085","57,903"
...65 years and over,"11,304","11,304","11,466","12,204","13,098","14,029","14,968","16,101","17,334","18,487","19,694","21,004"
...85 years and over,"1,085","1,085","1,122","1,225","1,324","1,420","1,525","1,647","1,757","1,886","2,017","2,159"
,,,,,,,,,,,,
...16 years and over,"169,353","169,353","170,506","175,221","179,996","184,767","189,702","194,675","199,620","204,347","209,042","213,865"
...18 years and over,"160,259","160,259","161,421","166,172","170,905","175,565","180,383","185,196","190,054","194,759","199,349","203,792"
...15 to 44 years,"122,992","122,992","123,516","125,543","127,662","129,755","131,679","133,345","135,052","136,734","138,402","140,105"
,,,,,,,,,,,,
...Median age (years),25.6,25.6,25.7,26.1,26.5,26.8,27.2,27.5,27.9,28.3,28.7,29.1
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. Median age is calculated based on single year of age. Hispanic origin is considered an ethnicity, not a race. Hispanics may be of any race. Responses of ""Some Other Race"" from the 2010 Census are modified. This results in differences between the population for specific race categories shown for the 2010 Census population in this table versus those in the original 2010 Census data. For more information, see https://www2.census.gov/programs-surveys/popest/technical-documentation/methodology/modified-race-summary-file-method/mrsf2010.pdf. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. ",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Annual Estimates of the Resident Population by Sex, Age, Race, and Hispanic Origin for the United States: April 1, 2010 to July 1, 2019 (NC-EST2019-ASR6H)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2020,,,,,,,,,,,,
